"","GB119.rep1","GB49.rep3","GB13.rep2","GB119.rep2","GB141.rep1","GB13.rep3","BMS1.1","BMS1.2","BMS1.3","GB119.rep3","GB141.rep2","GB57.rep1","CC1952.1","CC1952.2","CC1952.3","CC2342.1","CC2342.2","CC2342.3","CC2343.1","CC2343.2","CC2343.3","CC2932.1","CC2932.2","CC2932.3","CC3059.1","CC3059.2","CC3059.3","CC3060.1","CC3060.2","CC3060.3","CC3061.1","CC3061.2","CC3061.3","CC3063.1","CC3063.2","CC3063.3","CC3079.1","CC3079.2","CC3079.3","CL3.1","CL3.2","CL3.3","GB117.rep1","GB141.rep3","GB57.rep2","GB117.rep2","GB66.rep1","GB57.rep3","GB117.rep3","GB66.rep2","GB123.rep1","GB49.rep1","GB66.rep3","GB123.rep2","GB49.rep2","GB13.rep1","GB123.rep3","JG4.1","JG4.2","JG4.3","W13.1.1","W13.1.2","W13.1.3","W13.2.1","W13.2.2","W13.2.3","CC2931.ANC.rep2","CC2931.ANC.rep1","CC2931.ANC.rep3","CC2344.ANC.rep1","CC2344.ANC.rep3","CC2344.ANC.rep2"
"GB119.rep1",1,0.970390552792017,0.936493243785391,0.962477481862653,0.976344526290736,0.960565705093332,0.682889128891809,0.460272294874985,0.469722048772353,0.964619305012912,0.929116626306085,0.914518278567048,0.323028871382366,0.463169120693976,0.445935581884799,0.86260747538395,0.868012744232499,0.907340237704469,0.770065540561318,0.639989343583149,0.832077105645583,0.372002019949394,0.368757512983576,0.329083165569973,0.790354134867125,0.698043562194971,0.596575434527827,0.952802679491822,0.902579779154154,0.936139930276093,0.526083551834564,0.492240327187473,0.412003960114985,0.827232398364893,0.921158690742787,0.900406610753907,0.925007613476144,0.887545490940476,0.939609748674047,0.682044228270474,0.583109236592404,0.747348029569012,0.94528018224157,0.949271642315913,0.891151157047681,0.962629808719574,0.931460367098161,0.837464241228415,0.963154256147113,0.885492353784885,0.910189372767483,0.932759326414392,0.897830524865347,0.940706309630576,0.837491118962015,0.957473307054791,0.932361374179962,0.562916508420935,0.643654468759509,0.778321669684148,0.930446122936749,0.938242486357591,0.894824259691149,0.930196599722632,0.890764241469627,0.923299504700763,0.46652051450847,0.407364356245328,0.389025248542485,0.372227101013975,0.480214578286416,0.364409857188497
"GB49.rep3",0.970390552792017,1,0.941681715847343,0.93237242799778,0.976482081759271,0.960782788948693,0.669002232943584,0.443421568540273,0.459959685241267,0.934081574909325,0.898659296623648,0.907739810192414,0.304609125444263,0.463472765011165,0.422166160857235,0.869895115988301,0.874076641309125,0.907820141535613,0.774922484329014,0.635094705954132,0.868094631365773,0.364489816452831,0.357862665054296,0.314731062051392,0.773430084881705,0.678406845147503,0.604505543491851,0.952555321265833,0.905480604019104,0.943957590590987,0.509418390879016,0.466349913016473,0.384413509461842,0.81303245516876,0.912284050066661,0.895461994965521,0.937543250467878,0.89233619170678,0.949202238500452,0.681168734514541,0.562989568323486,0.727209491470346,0.958107256383473,0.967267341358237,0.893633651080116,0.965497596515776,0.931216405730286,0.798903263541396,0.95496743388126,0.883794924835858,0.911705349830049,0.951490900287721,0.892609325197883,0.960488792180309,0.812663219384451,0.959159179620919,0.946578425630985,0.541745352327083,0.626217152416086,0.76658628829062,0.936288422215667,0.936006382969549,0.906375230279201,0.923886873181997,0.91784431641671,0.905934873515921,0.445950399602445,0.388642117744525,0.36334469503287,0.352384072275506,0.469230011018657,0.346182464592307
"GB13.rep2",0.936493243785391,0.941681715847343,1,0.933209666965077,0.939449361061947,0.975627584258298,0.673006616333602,0.454157117444402,0.485402927659396,0.945861222227954,0.891724381036254,0.950292718303277,0.306794916908287,0.448294378665977,0.416646100311254,0.874160758638676,0.897375383749317,0.919286032018396,0.787863712896655,0.641076733972138,0.828361474579442,0.34874708746501,0.35061403711085,0.30861374824631,0.775481906759884,0.682539378784278,0.63072728369536,0.923833179181175,0.918039783164732,0.926416480424992,0.516225044990767,0.460310928251746,0.381497131363027,0.820039480177538,0.926302689073048,0.916362467226284,0.953143949353052,0.904164611551811,0.947814484381682,0.697066314125096,0.572962655977993,0.741321408285784,0.924310938270745,0.947351583527013,0.92684062657765,0.936732166449461,0.935213304640916,0.769545102753338,0.949502329216011,0.918720917108175,0.962487647041387,0.932479009231549,0.926603617521998,0.973555682222381,0.771685575307828,0.984897062266753,0.972399326856568,0.541867520848579,0.620091394546775,0.758806437842763,0.942800463659639,0.955513802456467,0.90846932755724,0.944537437749796,0.913319889224752,0.925084979589292,0.439539589552622,0.394548162760442,0.356818622672164,0.348192626524461,0.45828724301467,0.339020779584839
"GB119.rep2",0.962477481862653,0.93237242799778,0.933209666965077,1,0.929838285358605,0.954992920244703,0.672003144612996,0.437913647840922,0.443690359903397,0.983132481208642,0.972429116775492,0.926450622752456,0.301875939846921,0.416430173556301,0.425014617583861,0.83965327200462,0.848835188963288,0.888194245343819,0.741902789131216,0.610731061410027,0.752452119953856,0.34022340997957,0.341421212229336,0.301937195161951,0.765328842112055,0.677130530834887,0.559246171111426,0.923497999387138,0.880139907525878,0.898587621944084,0.503933676245496,0.505789374155625,0.419926424906168,0.789660092559906,0.904352923221368,0.881032603862848,0.907553918768318,0.834562623453111,0.921381597375127,0.661837764285306,0.563577727496968,0.733126133192289,0.915369085482593,0.90588652990227,0.903462535150533,0.951042676587364,0.932383072177391,0.901073447268825,0.969487629290536,0.881592005756948,0.9153044932521,0.93918519365891,0.901116589979385,0.937342826364194,0.914323711003946,0.950654364814047,0.91070342253541,0.534970172184904,0.632348786444374,0.758603897393913,0.917592762424818,0.909949203773699,0.861940047011534,0.91407060901317,0.836504154771437,0.892826148160369,0.445952077305216,0.396109208472779,0.384272242516882,0.363817690686356,0.463361593261126,0.353681133500595
"GB141.rep1",0.976344526290736,0.976482081759271,0.939449361061947,0.929838285358605,1,0.956127547424902,0.681397434412547,0.467573236756003,0.481379900868789,0.930832411380192,0.895802335506928,0.920642185752472,0.328641748153184,0.477099524611259,0.446999727547716,0.866837623291674,0.876899930301452,0.907229794878716,0.780708805485017,0.648053246236346,0.846800814031795,0.381173791047584,0.376766511021907,0.334726838742542,0.788088016801409,0.686463708396441,0.61523340564843,0.945231934328104,0.896591377097255,0.939240206477039,0.530892505799067,0.480551227771474,0.404852860834753,0.829009124322021,0.9208818250922,0.903268031585526,0.928242241935058,0.894540346661096,0.936316062696762,0.69655784290678,0.582904406330755,0.743146223944161,0.947868120964643,0.975185812081093,0.902383182515629,0.964363557144082,0.930779688980212,0.796757692805307,0.958092138205698,0.896073920352348,0.914258358611462,0.934240849465134,0.903285096805009,0.946345328113851,0.78894369584524,0.95583281673963,0.949172372616437,0.561963911882357,0.643170626449053,0.778458220027581,0.932640672546791,0.940250619276381,0.899052635417234,0.924988779163383,0.900408985853501,0.911076182745416,0.474222333323407,0.412732034180054,0.389601981339161,0.376585373516361,0.48330619719951,0.3705786007016
"GB13.rep3",0.960565705093332,0.960782788948693,0.975627584258298,0.954992920244703,0.956127547424902,1,0.688422134651293,0.444126367575086,0.456391552091912,0.962219739126541,0.924926266229823,0.912545933765953,0.308645212253297,0.448529072308181,0.426841738640573,0.884497170524815,0.888712701908722,0.925216290352058,0.775917216774935,0.640977187761507,0.821881082033797,0.357387998532113,0.357996516292949,0.315091111727794,0.775626749693891,0.687214300669858,0.583225804288838,0.954407897345274,0.898513853809723,0.926642819891453,0.513060416348795,0.475464042488688,0.395903878433202,0.829794982171991,0.925747151185511,0.908646721128889,0.946756166279859,0.877745265738018,0.955915813710602,0.643402872746472,0.555249494936596,0.739127717300236,0.939101585802133,0.93900846301673,0.886336389038527,0.953392456374044,0.943861416522174,0.817697364639478,0.964676483300301,0.890539252620523,0.920984427477888,0.945649938460826,0.911659883396458,0.968828723475537,0.829372588829999,0.997296752517773,0.951131751535451,0.537355226987892,0.6291590870997,0.763061883945907,0.934861247286739,0.952296571258843,0.891098303816754,0.931399670931602,0.886138768328865,0.925775431930436,0.443660415902016,0.383448340275915,0.370487286932678,0.351534061719127,0.468788024335011,0.338571159563044
"BMS1.1",0.682889128891809,0.669002232943584,0.673006616333602,0.672003144612996,0.681397434412547,0.688422134651293,1,0.928097850735818,0.888184576548196,0.683885742245003,0.680274667636094,0.652448807612287,0.8650164059298,0.906326196812162,0.917004403472147,0.914075362738519,0.874673260854742,0.858972825301612,0.940577556266592,0.969093327157794,0.736915549777867,0.889597496361211,0.894243583470368,0.87294611408455,0.955534155475452,0.959959250848473,0.815323678712557,0.735805503272863,0.67474817210469,0.740013682128011,0.939910233845186,0.915691386585364,0.899358916681289,0.946010539985216,0.836445722088355,0.859931107041047,0.688830562223203,0.635089123581065,0.69567962785397,0.713378503211178,0.947903516255169,0.980867717192035,0.666309466204131,0.667241862096883,0.629883322855206,0.701090717046299,0.834320118515217,0.588952392609444,0.717182443717247,0.840832775839853,0.670681527507152,0.648525385511091,0.854153696778878,0.706644711659301,0.572967833111362,0.687380107382971,0.699180262734493,0.959703699503229,0.97900857408734,0.964728753831494,0.679048130771351,0.696988640528841,0.647709130653774,0.717812155881741,0.668063844327565,0.788601082290319,0.911609772899294,0.882921044483745,0.886869799664979,0.874906582164211,0.922833213216733,0.866606388844809
"BMS1.2",0.460272294874985,0.443421568540273,0.454157117444402,0.437913647840922,0.467573236756003,0.444126367575086,0.928097850735818,1,0.960462594983357,0.443847860011514,0.441290256090693,0.477684445305347,0.961960944373282,0.959246219526763,0.972589555989218,0.749461192727498,0.714971120095113,0.671202002843003,0.858390400494587,0.940074953029621,0.574882878757296,0.967242051334004,0.969834782672983,0.962965474873355,0.881063880733882,0.91968860983317,0.84414021666645,0.505052591195871,0.500206038616758,0.557991366519822,0.970286401406831,0.94200328191121,0.954877382627755,0.827584682986166,0.647077231752752,0.688445731526081,0.458972294835081,0.47711348163134,0.46232314275262,0.699764630790209,0.951773034126277,0.901956968653162,0.467113477094132,0.471097998917432,0.46731663617021,0.490503457529884,0.658495535191443,0.365437355714909,0.502648579662871,0.713896656186953,0.491931770899267,0.437392921254027,0.709768368743282,0.488805134833683,0.331345117727555,0.447626440343104,0.504900523146316,0.970808268443753,0.940537970899037,0.872742140692114,0.478463507905489,0.472799253881439,0.478185520900047,0.525632221541146,0.467757613448723,0.599187161403643,0.97070255876418,0.96597459419935,0.959126066239556,0.96208265926551,0.963687937558641,0.959623421134833
"BMS1.3",0.469722048772353,0.459959685241267,0.485402927659396,0.443690359903397,0.481379900868789,0.456391552091912,0.888184576548196,0.960462594983357,1,0.443609810231169,0.436866964406864,0.514203726015446,0.903869281039827,0.911689155233335,0.916518691017917,0.735766696907928,0.709689987655972,0.671512266184013,0.838289504203149,0.900775404168885,0.593156427752161,0.912388081086466,0.913664511794429,0.902854158133833,0.856389535436256,0.880378664951249,0.876965115942263,0.510840885553401,0.525967842442621,0.578446587417907,0.921050424366899,0.888762040679428,0.894910180396279,0.802054816686757,0.646937454114066,0.687676875779911,0.474633814230508,0.517222489362593,0.473464398885905,0.718442390600732,0.934924892122338,0.870579598112236,0.482908848504078,0.502094560765027,0.499425144472441,0.493596105853261,0.656856066536481,0.362000395792765,0.501154510428939,0.715258941948891,0.515870133854706,0.462712541956491,0.705397555782392,0.501204981855825,0.327787117811919,0.460996433186314,0.524743692382852,0.932986287486063,0.902728190033893,0.842401835263348,0.497634042986699,0.495720187883791,0.506066087369896,0.538132856666804,0.490329969384426,0.61262613501318,0.918085881529638,0.9213784904245,0.899430234618219,0.90834620768446,0.914625545388613,0.907557502093703
"GB119.rep3",0.964619305012912,0.934081574909325,0.945861222227954,0.983132481208642,0.930832411380192,0.962219739126541,0.683885742245003,0.443847860011514,0.443609810231169,1,0.974273098280385,0.915452383442949,0.311677874782757,0.429239018567742,0.433008554648129,0.860428432645152,0.868814596159581,0.906745786649548,0.758768479159645,0.62827567146795,0.781763601985182,0.345769862072247,0.34936651783192,0.311903786689946,0.778617503884931,0.697595825841622,0.564416843654202,0.943559203468981,0.903141427843075,0.915172800447394,0.514657871845351,0.498830333445346,0.415672575951177,0.819643809234634,0.919696441456021,0.902917172654964,0.93153287457072,0.860238007539062,0.942912857515429,0.647232933502864,0.567840641754347,0.751863369675482,0.913479776223624,0.907853358918614,0.885465211600015,0.949628712893828,0.926485311038993,0.88399711221815,0.966472799632275,0.878450184039806,0.918859636352758,0.917286966031855,0.901145660639239,0.945313877567727,0.888925595287687,0.961773721189769,0.919876237993009,0.548228358309871,0.635687473877364,0.767320847408943,0.926906329971413,0.936449462976519,0.879199221492177,0.931675168727875,0.867239648318415,0.927233473729541,0.442858360670785,0.388326247981789,0.377243290616751,0.354692632335952,0.463055747084175,0.342984452804974
"GB141.rep2",0.929116626306085,0.898659296623648,0.891724381036254,0.972429116775492,0.895802335506928,0.924926266229823,0.680274667636094,0.441290256090693,0.436866964406864,0.974273098280385,1,0.868430335374733,0.327736587154589,0.427747005280403,0.446922331889643,0.824882845970938,0.822837380975234,0.867035077988788,0.729447394567056,0.616079786554452,0.733398269494159,0.358880465761445,0.362332296045669,0.325227680730208,0.757940669762792,0.681662571601493,0.530925434786636,0.912391793573085,0.835103711421269,0.862672448088026,0.516710856170585,0.543261084109764,0.453923245667793,0.782548578516434,0.87861393797377,0.856055624219171,0.880221609617414,0.780108891140942,0.893593236629765,0.591108509098206,0.563112970547063,0.735840201151785,0.880179622550599,0.867375186844021,0.838933481680563,0.926818241892301,0.9115102053228,0.956926643118545,0.941025430103588,0.840998798604538,0.862852049732825,0.900887543375317,0.871426827105679,0.908712136129525,0.950627575665263,0.916505851251748,0.864888162127077,0.544021492284865,0.637790158654308,0.744969478599261,0.870800502840543,0.878069644208445,0.808523133981573,0.867507424581918,0.799820411091274,0.869967477458214,0.454116496236372,0.406224843079997,0.407750380430659,0.378438601249804,0.482221472890195,0.364998379912645
"GB57.rep1",0.914518278567048,0.907739810192414,0.950292718303277,0.926450622752456,0.920642185752472,0.912545933765953,0.652448807612287,0.477684445305347,0.514203726015446,0.915452383442949,0.868430335374733,1,0.310726542877871,0.436768175249031,0.417402602304853,0.831082965258844,0.867919477920635,0.882924516889039,0.76861055570877,0.621038583064156,0.769154154287041,0.347939853188836,0.348972755485345,0.309476575394357,0.772698953860606,0.676395929581111,0.657570874062342,0.872169321068355,0.926103877988953,0.916999001223672,0.513373280940282,0.46836445996035,0.389197481315613,0.787901158445462,0.902030978547168,0.895885482938582,0.903712309336295,0.897500992662368,0.902161599291585,0.802968425265282,0.608368189132328,0.735810032149929,0.916383134155966,0.922885217108271,0.989809115753102,0.920802864691074,0.900947015719652,0.766600410780906,0.941254614046705,0.916607489491013,0.97963010760556,0.933548781140614,0.908200508246219,0.934781193595246,0.754623688520635,0.922936611695878,0.948711848029689,0.553295600427059,0.624286856860879,0.767477668051942,0.938128745606712,0.914651883086393,0.91012087804407,0.944747558264976,0.883242734307786,0.892670272858558,0.45845962478854,0.426488876212196,0.371512741723431,0.376067116353722,0.454749780977486,0.376138418815869
"CC1952.1",0.323028871382366,0.304609125444263,0.306794916908287,0.301875939846921,0.328641748153184,0.308645212253297,0.8650164059298,0.961960944373282,0.903869281039827,0.311677874782757,0.327736587154589,0.310726542877871,1,0.971995303406138,0.986889689204049,0.637857122697285,0.584113131018732,0.535365212933718,0.777488604095637,0.907143766866564,0.475248831182409,0.987519991298033,0.989198278566728,0.992735326051118,0.800444973299189,0.866371685763052,0.758958827987307,0.371963341932744,0.329450735898133,0.401689255904208,0.965696459928735,0.953538993506967,0.979820039213964,0.735578541670631,0.504979865496971,0.550387696276961,0.321985199657155,0.311308943647136,0.323574938656473,0.525936987934427,0.876876758867066,0.814330328860561,0.325768551612274,0.327694399330261,0.299284395413998,0.354383884331582,0.545099930284641,0.271040790043937,0.367134650514807,0.593417947378054,0.338377034848452,0.285484550777891,0.594342198534541,0.354439200069727,0.234720970420984,0.310133777951103,0.360436630172596,0.917241863002169,0.870011825429109,0.76957394508683,0.312977967960795,0.321101978869487,0.305916843793536,0.363872956949657,0.334135158084082,0.455982357850982,0.976861548431454,0.976166082415361,0.983718455512851,0.983184354100672,0.972976151971196,0.979356917505465
"CC1952.2",0.463169120693976,0.463472765011165,0.448294378665977,0.416430173556301,0.477099524611259,0.448529072308181,0.906326196812162,0.959246219526763,0.911689155233335,0.429239018567742,0.427747005280403,0.436768175249031,0.971995303406138,1,0.976940918655769,0.742810594760187,0.689624115831812,0.650505666541185,0.859668361507737,0.950298217717877,0.635383695047334,0.978214969036618,0.975164863715362,0.96986487825373,0.864777928926673,0.906785627878075,0.814402203448417,0.506185465730317,0.458663380258055,0.537032265727035,0.979515890047505,0.947139232146881,0.954675234722463,0.814081012487209,0.617742826606446,0.658198753380467,0.467557559800319,0.453498700768171,0.467825948024552,0.608824360550126,0.900487181512441,0.865147075987042,0.470646754238478,0.489251283012775,0.429852248939819,0.488386789963205,0.659709611746821,0.351188980446289,0.490686021770673,0.697986925486452,0.467549708481002,0.419975447202921,0.694938254245319,0.494783505345713,0.320400806079061,0.451788511155496,0.50383526395482,0.93375415389907,0.898529970077388,0.837968705313407,0.447549257582942,0.457987995098711,0.441615719059724,0.490470679078184,0.496882664771172,0.567548168207345,0.975532399328667,0.966994168552682,0.959661812907789,0.960213195625797,0.976236737631101,0.957545302140853
"CC1952.3",0.445935581884799,0.422166160857235,0.416646100311254,0.425014617583861,0.446999727547716,0.426841738640573,0.917004403472147,0.972589555989218,0.916518691017917,0.433008554648129,0.446922331889643,0.417402602304853,0.986889689204049,0.976940918655769,1,0.722396379976544,0.672797585616352,0.634861165721168,0.842123721464407,0.944954018773869,0.552197542410787,0.979901316518224,0.981790325921313,0.979338608080697,0.870052836128733,0.916045593322035,0.796635269506497,0.4912205508756,0.440404594418021,0.516038887511806,0.983223526217659,0.970432961648312,0.985327725694742,0.812951445920281,0.609403968675154,0.647440283167637,0.430740682566665,0.417004201160472,0.43639449237152,0.587603187337121,0.907707840837546,0.877525379944995,0.43799450629763,0.438913562127042,0.401049368487823,0.473803188066526,0.646190110090237,0.382961529829722,0.485188055372955,0.682463281369587,0.441327858440205,0.401044548702847,0.687258087721009,0.461808306284191,0.351673081053153,0.426214350004783,0.466466520143621,0.946682004444371,0.914652634135048,0.837610271867331,0.432582136566226,0.438411964538506,0.418300929126727,0.478118759304994,0.429095502436228,0.564770236641573,0.984770311498816,0.973537112106947,0.982695345753766,0.978119891082555,0.98266985635171,0.972328111072865
"CC2342.1",0.86260747538395,0.869895115988301,0.874160758638676,0.83965327200462,0.866837623291674,0.884497170524815,0.914075362738519,0.749461192727498,0.735766696907928,0.860428432645152,0.824882845970938,0.831082965258844,0.637857122697285,0.742810594760187,0.722396379976544,1,0.976406556487155,0.98528986691307,0.941985734305522,0.88166639390667,0.876214593529739,0.679660329324895,0.683409498974827,0.647039895335662,0.934757654068282,0.899327249627839,0.772163789412129,0.916436487816087,0.869385948735188,0.911171532095846,0.785418571924986,0.735990088986206,0.686344988623534,0.973346925043672,0.961887420266377,0.973592754218535,0.898795130299019,0.838579113631584,0.907807574618496,0.751795355841316,0.828912270147361,0.93824805465256,0.859466397329444,0.858721575289826,0.807099964711267,0.871428356929984,0.934216946339968,0.700251886046201,0.886396013001372,0.917343521446562,0.854029838004452,0.841188370314939,0.930731395750534,0.894506269602469,0.697852160419728,0.885770464847162,0.883138702402421,0.822783017100134,0.878805480967494,0.94555740687793,0.877773861945273,0.897455241107041,0.847804710401519,0.897057218404651,0.873793348081067,0.93182195321893,0.725362040073009,0.68035985536588,0.667157796149422,0.653714685721367,0.743643221888973,0.644980307702915
"CC2342.2",0.868012744232499,0.874076641309125,0.897375383749317,0.848835188963288,0.876899930301452,0.888712701908722,0.874673260854742,0.714971120095113,0.709689987655972,0.868814596159581,0.822837380975234,0.867919477920635,0.584113131018732,0.689624115831812,0.672797585616352,0.976406556487155,1,0.985181855175688,0.932813145924476,0.844791259897482,0.8626279438359,0.623596800592752,0.628564213730018,0.590170983191189,0.918007697146598,0.863784951333437,0.803092921945709,0.910307069067054,0.894273309321145,0.927425024561731,0.746635341065797,0.683111069894169,0.631111999318239,0.952137038952367,0.972973638368787,0.978448365172404,0.915709610160757,0.877246380058188,0.911717896548608,0.786981693998268,0.803904909571318,0.914681335911364,0.873529884468405,0.874856297796847,0.846176492763166,0.884142689490661,0.929351381269398,0.695351018202901,0.89445383396779,0.930802863337504,0.885050368884379,0.849048951734292,0.939044101964982,0.905799082049556,0.688957741891246,0.894222431364438,0.907621497974104,0.794670627843357,0.848189130683069,0.925747147340964,0.90931965793451,0.91854424778928,0.883977446571831,0.922954884297166,0.882763807529169,0.933968950606246,0.675735454271881,0.634712305165419,0.610420809414832,0.601912688365689,0.690255008115185,0.593787348330611
