"","GB119.rep1","GB49.rep3","GB13.rep2","GB119.rep2","GB141.rep1","GB13.rep3","BMS1.1","BMS1.2","BMS1.3","GB119.rep3","GB141.rep2","GB57.rep1","CC1952.1","CC1952.2","CC1952.3","CC2342.1","CC2342.2","CC2342.3","CC2343.1","CC2343.2","CC2343.3","CC2932.1","CC2932.2","CC2932.3","CC3059.1","CC3059.2","CC3059.3","CC3060.1","CC3060.2","CC3060.3","CC3061.1","CC3061.2","CC3061.3","CC3063.1","CC3063.2","CC3063.3","CC3079.1","CC3079.2","CC3079.3","CL3.1","CL3.2","CL3.3","GB117.rep1","GB141.rep3","GB57.rep2","GB117.rep2","GB66.rep1","GB57.rep3","GB117.rep3","GB66.rep2","GB123.rep1","GB49.rep1","GB66.rep3","GB123.rep2","GB49.rep2","GB13.rep1","GB123.rep3","JG4.1","JG4.2","JG4.3","W13.1.1","W13.1.2","W13.1.3","W13.2.1","W13.2.2","W13.2.3","CC2931.ANC.rep2","CC2931.ANC.rep1","CC2931.ANC.rep3","CC2344.ANC.rep1","CC2344.ANC.rep3","CC2344.ANC.rep2"
"CC3063.3",0.900406610753907,0.895461994965521,0.916362467226284,0.881032603862848,0.903268031585526,0.908646721128889,0.859931107041047,0.688445731526081,0.687676875779911,0.902917172654964,0.856055624219171,0.895885482938582,0.550387696276961,0.658198753380467,0.647440283167637,0.973592754218535,0.978448365172404,0.982345797478403,0.922671726576587,0.827819433657063,0.866332095306671,0.584549628371313,0.589044464198143,0.552900911304883,0.921074000688483,0.865311069361718,0.774889427696485,0.937268925075405,0.928113786808365,0.950818362282621,0.72113029086117,0.658544523671989,0.604418796363495,0.958214567600606,0.992737551013399,1,0.935432494574122,0.899867274771095,0.939679920934227,0.79894119189762,0.782295622948024,0.911315442020861,0.883445296004035,0.892947797944352,0.868413780672095,0.900102873291346,0.937861969533035,0.723808990638925,0.919332276333356,0.936540019438144,0.910652611568409,0.866658958642565,0.944558522241771,0.920418769970502,0.711696711425682,0.915339505594466,0.922308729583318,0.766572091422697,0.824743224992029,0.920090016148118,0.93590778024594,0.947658080498849,0.909291040820717,0.95329320219761,0.908001320232089,0.967834525274327,0.649900930079639,0.604018797955123,0.579141080972027,0.570423748779377,0.661206769668882,0.563526390919555
"CC3079.1",0.925007613476144,0.937543250467878,0.953143949353052,0.907553918768318,0.928242241935058,0.946756166279859,0.688830562223203,0.458972294835081,0.474633814230508,0.93153287457072,0.880221609617414,0.903712309336295,0.321985199657155,0.467557559800319,0.430740682566665,0.898795130299019,0.915709610160757,0.93501731909924,0.816243549474759,0.666683489338563,0.881800011369303,0.357470792403513,0.358930358585147,0.318399724954624,0.789024591646482,0.706499745856501,0.635562050354701,0.951695724290088,0.935157290095686,0.945211304373517,0.529304644423696,0.467209801451076,0.388596008524106,0.84065686295581,0.944716497670649,0.935432494574122,1,0.932475193089012,0.992612334744189,0.688925385989869,0.570827323096686,0.753644795637591,0.910685249111322,0.93318686231799,0.88357549554667,0.916243876997266,0.908872009053312,0.754979924468943,0.925387960666479,0.8790575933972,0.921412439947456,0.895000455609961,0.889288344761443,0.948080069551559,0.759700479147593,0.953500843506658,0.939574306269971,0.551100203077151,0.630402043940927,0.772401466175566,0.95359828439786,0.968378599837827,0.920522219411328,0.952014828267479,0.949190918975394,0.937172248498369,0.432442947372474,0.382394971402414,0.349053181509711,0.336886642826569,0.454262953236666,0.328155941059748
"CC3079.2",0.887545490940476,0.89233619170678,0.904164611551811,0.834562623453111,0.894540346661096,0.877745265738018,0.635089123581065,0.47711348163134,0.517222489362593,0.860238007539062,0.780108891140942,0.897500992662368,0.311308943647136,0.453498700768171,0.417004201160472,0.838579113631584,0.877246380058188,0.890343459231167,0.778867016052253,0.624020793870632,0.817917995078281,0.344227675681509,0.343799846464456,0.305058370557809,0.77412876871485,0.684391880498381,0.698793747101512,0.895225482735411,0.954468269973282,0.950731630176565,0.501338424986477,0.411033218734679,0.344817823843662,0.810467420594589,0.90236169867136,0.899867274771095,0.932475193089012,1,0.93160583418458,0.785230358666216,0.582240664906639,0.724968607172075,0.897775913434095,0.900244446454136,0.885421467409067,0.879537185784762,0.847049513616362,0.643378059205573,0.877780376446692,0.85812589238569,0.907526864335513,0.858403236965175,0.847506073003124,0.890524671244909,0.637405399650689,0.888119429078905,0.91831095190245,0.561957535353162,0.607016046724345,0.755115364924836,0.947749576760823,0.932537195323443,0.952290082972181,0.953768997479632,0.903578808413369,0.916195632181692,0.423869433329714,0.375958272588663,0.323910479415144,0.327120464792034,0.41862355257841,0.324866696387174
"CC3079.3",0.939609748674047,0.949202238500452,0.947814484381682,0.921381597375127,0.936316062696762,0.955915813710602,0.69567962785397,0.46232314275262,0.473464398885905,0.942912857515429,0.893593236629765,0.902161599291585,0.323574938656473,0.467825948024552,0.43639449237152,0.907807574618496,0.911717896548608,0.941507691997011,0.811050446180105,0.666748935225336,0.87559728388364,0.361853529213446,0.362495876193748,0.322303002999469,0.794946179442684,0.719164167326847,0.618546232683936,0.967810303588113,0.944649472596038,0.955046916647966,0.526436562195492,0.471432899984401,0.393975343966376,0.850811764204487,0.948462161648431,0.939679920934227,0.992612334744189,0.93160583418458,1,0.687174255090052,0.57274379852237,0.760348986052651,0.922799470706365,0.930520030561577,0.880623885782779,0.926811870759599,0.912203998110046,0.769660559889043,0.939368512026316,0.873070133526658,0.919050381082397,0.908608227842501,0.885953299720334,0.951096692992326,0.777691079647064,0.959309775389251,0.93654587950062,0.555122797479514,0.63946612630736,0.783088635558119,0.960621995098056,0.969970830535669,0.928774097650293,0.958724877726688,0.942968249704109,0.948743465984357,0.437508290470711,0.381678886459267,0.355814582668046,0.342092889696929,0.459276299218997,0.333427565488361
"CL3.1",0.682044228270474,0.681168734514541,0.697066314125096,0.661837764285306,0.69655784290678,0.643402872746472,0.713378503211178,0.699764630790209,0.718442390600732,0.647232933502864,0.591108509098206,0.802968425265282,0.525936987934427,0.608824360550126,0.587603187337121,0.751795355841316,0.786981693998268,0.762402516362157,0.77080353354572,0.695299285916831,0.664906198120843,0.557202364707254,0.554657163729054,0.52620477424517,0.785534011377923,0.726851718054182,0.799525582878061,0.662463302689938,0.783841663967093,0.781415754299211,0.647858887799608,0.57699825430682,0.543057187990294,0.754016789576258,0.774130624750768,0.79894119189762,0.688925385989869,0.785230358666216,0.687174255090052,1,0.784356658400373,0.780135278593868,0.722512339838856,0.709627730701064,0.818002071741122,0.698944612954045,0.728323318941124,0.489235297275096,0.712190881548787,0.804992542770719,0.785474001029649,0.701622683009542,0.769792668955251,0.69773577502285,0.467025898664428,0.656878181267791,0.744856554504435,0.723725854921679,0.729265674162899,0.817826536600667,0.757106450839115,0.702240897338132,0.76424571633897,0.79191454727764,0.714396610370961,0.739412598547026,0.630113519511602,0.619567433195795,0.550489826843832,0.57811876570035,0.595238277007293,0.590733625213651
"CL3.2",0.583109236592404,0.562989568323486,0.572962655977993,0.563577727496968,0.582904406330755,0.555249494936596,0.947903516255169,0.951773034126277,0.934924892122338,0.567840641754347,0.563112970547063,0.608368189132328,0.876876758867066,0.900487181512441,0.907707840837546,0.828912270147361,0.803904909571318,0.773953033291417,0.875062767579656,0.919932602020989,0.65013642257288,0.902892201106069,0.906554802553894,0.886901877456033,0.904485014301062,0.916996851577256,0.840564110350588,0.608811704674335,0.610426163815849,0.658187101282239,0.925672907084261,0.899390812710784,0.889780931558502,0.872497438006576,0.750493145017864,0.782295622948024,0.570827323096686,0.582240664906639,0.57274379852237,0.784356658400373,1,0.948404653365319,0.585079732500642,0.58452398661488,0.596842451973756,0.603137223099724,0.738229991619966,0.488599412959884,0.616494498105017,0.782417953130027,0.613905125166376,0.561506954714313,0.776236041964225,0.599280353672648,0.454778340332761,0.559061365591884,0.612014175586044,0.982273166992299,0.972914898881918,0.939281581749794,0.586348782659804,0.585544524539225,0.578611984784415,0.637453546997438,0.584733692300723,0.694727372337056,0.921699009629418,0.916061493356993,0.897362697787893,0.900989572010961,0.914558747253621,0.901619511128442
"CL3.3",0.747348029569012,0.727209491470346,0.741321408285784,0.733126133192289,0.743146223944161,0.739127717300236,0.980867717192035,0.901956968653162,0.870579598112236,0.751863369675482,0.735840201151785,0.735810032149929,0.814330328860561,0.865147075987042,0.877525379944995,0.93824805465256,0.914681335911364,0.90152582430533,0.950923925615562,0.951644653977294,0.76440990483264,0.836341925066318,0.84216461550537,0.817869862272659,0.972015841231651,0.967450501624076,0.832418013499933,0.786695427240525,0.76351060639484,0.806428841405792,0.910487146142491,0.87451130313503,0.849828746720318,0.969539396608755,0.888259362825568,0.911315442020861,0.753644795637591,0.724968607172075,0.760348986052651,0.780135278593868,0.948404653365319,1,0.73145328142537,0.73141419250269,0.71248116735741,0.763347232208141,0.869352141972101,0.631300829020469,0.782001527758049,0.888042181404083,0.754742073109885,0.706041823874525,0.895424888349692,0.76593215539625,0.605361351629116,0.743854656466729,0.766246780086521,0.949682760351037,0.971720393841744,0.984305330952789,0.759651529976461,0.765106887567261,0.73787950360209,0.799252541430147,0.735226853271185,0.852605873029757,0.87483421431964,0.843736609741154,0.836511620223474,0.82836787903366,0.879497968257835,0.821569508849316
"GB117.rep1",0.94528018224157,0.958107256383473,0.924310938270745,0.915369085482593,0.947868120964643,0.939101585802133,0.666309466204131,0.467113477094132,0.482908848504078,0.913479776223624,0.880179622550599,0.916383134155966,0.325768551612274,0.470646754238478,0.43799450629763,0.859466397329444,0.873529884468405,0.905160905423409,0.766714354051652,0.634947365822732,0.811136456813743,0.378526656192592,0.374850734287356,0.331606329868267,0.774781124257192,0.689808881075547,0.630038590089501,0.916024191455263,0.895655966456012,0.922080779301178,0.524091875936834,0.481523834721033,0.399867631118343,0.807575548495532,0.894368472676796,0.883445296004035,0.910685249111322,0.897775913434095,0.922799470706365,0.722512339838856,0.585079732500642,0.73145328142537,1,0.931508872219876,0.91323467514898,0.972666548026092,0.912622656005723,0.784214547275462,0.963615799826818,0.881306896467583,0.918555761177889,0.953294971873074,0.88198513527719,0.951728486753395,0.786753877792599,0.934091445340179,0.945971162253462,0.55813747309537,0.632081097612203,0.771140310295061,0.925397162541672,0.905409538432441,0.897047635688673,0.919103572249532,0.878636897021558,0.8882244373353,0.470362501938554,0.420375878289303,0.386594019584998,0.38484795920423,0.480463465344551,0.380805124202302
"GB141.rep3",0.949271642315913,0.967267341358237,0.947351583527013,0.90588652990227,0.975185812081093,0.93900846301673,0.667241862096883,0.471097998917432,0.502094560765027,0.907853358918614,0.867375186844021,0.922885217108271,0.327694399330261,0.489251283012775,0.438913562127042,0.858721575289826,0.874856297796847,0.897339190930962,0.788329841849147,0.64666197243064,0.883716091904234,0.381207540608629,0.375077500260701,0.332016403931596,0.777587139313774,0.678079093848823,0.64936857916953,0.919348552540236,0.899177449626325,0.929974014607327,0.534378729802929,0.479612895781031,0.397785811396445,0.806539307334235,0.908977378050962,0.892947797944352,0.93318686231799,0.900244446454136,0.930520030561577,0.709627730701064,0.58452398661488,0.73141419250269,0.931508872219876,1,0.912389429909765,0.94111139512001,0.930720718807199,0.767049927731093,0.930333375647742,0.906794184526174,0.92134558897862,0.924995245374988,0.907044939541827,0.945456191212745,0.759682550956127,0.94349972870065,0.950290757942647,0.558455648185523,0.632945026746789,0.761548644927767,0.929580037107223,0.92714037823089,0.908137001839284,0.914787821077673,0.926537558430705,0.890526705061668,0.466167317905554,0.420982619735295,0.379299656985095,0.370377575553719,0.479997074794014,0.36521143746925
"GB57.rep2",0.891151157047681,0.893633651080116,0.92684062657765,0.903462535150533,0.902383182515629,0.886336389038527,0.629883322855206,0.46731663617021,0.499425144472441,0.885465211600015,0.838933481680563,0.989809115753102,0.299284395413998,0.429852248939819,0.401049368487823,0.807099964711267,0.846176492763166,0.858356389666007,0.748399307559614,0.600886846825957,0.754546419118413,0.337899040871804,0.337018383928614,0.296890887867063,0.749991086206174,0.653761320676452,0.648314518304263,0.842683912443705,0.910955775968809,0.897886220567166,0.500157650471286,0.454440315303431,0.374377956718685,0.757539296002452,0.874294638229622,0.868413780672095,0.88357549554667,0.885421467409067,0.880623885782779,0.818002071741122,0.596842451973756,0.71248116735741,0.91323467514898,0.912389429909765,1,0.9060225182802,0.881336848416157,0.742128971159933,0.921335709067736,0.905497298032595,0.968221665069503,0.927713395838461,0.888237739109224,0.919645693029002,0.733406343774554,0.896395708904035,0.93864297138555,0.537224616853809,0.606543858131371,0.752741436887401,0.9222005621802,0.882282327307033,0.897495466952872,0.927575580324887,0.873019847010493,0.857340139002125,0.450593799164622,0.42319769235062,0.360085708248115,0.369178669499499,0.438850682011022,0.372110089077988
"GB117.rep2",0.962629808719574,0.965497596515776,0.936732166449461,0.951042676587364,0.964363557144082,0.953392456374044,0.701090717046299,0.490503457529884,0.493596105853261,0.949628712893828,0.926818241892301,0.920802864691074,0.354383884331582,0.488386789963205,0.473803188066526,0.871428356929984,0.884142689490661,0.913706398762614,0.784219363107347,0.657024015936268,0.805190596796259,0.402505013904307,0.40092225507922,0.359549164231267,0.79987024657257,0.711479063857798,0.626033986410664,0.939250149721991,0.89680972304951,0.931868745827545,0.552812460160696,0.522660657216887,0.443273366765445,0.830332016975061,0.913570915233989,0.900102873291346,0.916243876997266,0.879537185784762,0.926811870759599,0.698944612954045,0.603137223099724,0.763347232208141,0.972666548026092,0.94111139512001,0.9060225182802,1,0.939675883168908,0.837024395862628,0.988826238041025,0.908464250980538,0.919906316050119,0.941878689453701,0.91689056067269,0.956890964567334,0.840511411780776,0.950695063708068,0.949168301847078,0.586707836875397,0.666463061092462,0.794083562710778,0.933923964127267,0.921487388753834,0.896794246003125,0.923342951923375,0.86666804405239,0.9077483815762,0.497589732871328,0.443177280493032,0.423813364894181,0.410164789325331,0.510882711719853,0.402747347143949
"GB66.rep1",0.931460367098161,0.931216405730286,0.935213304640916,0.932383072177391,0.930779688980212,0.943861416522174,0.834320118515217,0.658495535191443,0.656856066536481,0.926485311038993,0.9115102053228,0.900947015719652,0.545099930284641,0.659709611746821,0.646190110090237,0.934216946339968,0.929351381269398,0.94547428655494,0.892958664106503,0.804993074715529,0.846004216045806,0.58600436743293,0.585249647320446,0.54749599764083,0.900741733549169,0.832944432152023,0.734144715549786,0.920240507276965,0.86821916892199,0.91391463735863,0.719878890659643,0.694857324311024,0.62785361393614,0.9087949373755,0.945598628046092,0.937861969533035,0.908872009053312,0.847049513616362,0.912203998110046,0.728323318941124,0.738229991619966,0.869352141972101,0.912622656005723,0.930720718807199,0.881336848416157,0.939675883168908,1,0.816496752381028,0.946505917642101,0.970054702171998,0.909635681019362,0.925448581949854,0.983218128217067,0.949279239546065,0.822273110625874,0.943823681488962,0.934968433947233,0.727649134027055,0.796620768858986,0.879560571343646,0.902272881284844,0.904888327592887,0.859626448322042,0.907958683912072,0.863032419570681,0.912995363319829,0.665403029619204,0.621789585535285,0.604157335161096,0.590389827726895,0.684549207760294,0.57944287879178
"GB57.rep3",0.837464241228415,0.798903263541396,0.769545102753338,0.901073447268825,0.796757692805307,0.817697364639478,0.588952392609444,0.365437355714909,0.362000395792765,0.88399711221815,0.956926643118545,0.766600410780906,0.271040790043937,0.351188980446289,0.382961529829722,0.700251886046201,0.695351018202901,0.746679625970425,0.612890367781524,0.516134865046512,0.618740413224624,0.302472044088978,0.303976094317938,0.268821905371218,0.654003481904003,0.581486597559066,0.434443974663417,0.81064618328386,0.700753922634113,0.741853805166215,0.440282626869379,0.520168222094846,0.419620998624061,0.65350553697109,0.758918140206296,0.723808990638925,0.754979924468943,0.643378059205573,0.769660559889043,0.489235297275096,0.488599412959884,0.631300829020469,0.784214547275462,0.767049927731093,0.742128971159933,0.837024395862628,0.816496752381028,1,0.842555840986249,0.72623817933567,0.743930883141179,0.82403562716177,0.76076342259783,0.800382251309709,0.971408920612655,0.80024681286914,0.742544477543342,0.461863567619015,0.561039947490922,0.639824732551582,0.745777317466971,0.747933136546326,0.67588382198938,0.734024897698051,0.669614253599751,0.732950394672578,0.393831384967198,0.360253813687033,0.370846558303525,0.333138770872757,0.424745716921459,0.32091247320071
"GB117.rep3",0.963154256147113,0.95496743388126,0.949502329216011,0.969487629290536,0.958092138205698,0.964676483300301,0.717182443717247,0.502648579662871,0.501154510428939,0.966472799632275,0.941025430103588,0.941254614046705,0.367134650514807,0.490686021770673,0.485188055372955,0.886396013001372,0.89445383396779,0.925855595427269,0.795882408232559,0.672108407675743,0.793587709489183,0.4088550266861,0.409946547697556,0.369647862709591,0.812920900575467,0.73318499845396,0.624605666270994,0.939750420912738,0.91002428001847,0.931816579872788,0.564184663922262,0.536724939622708,0.459350764594625,0.847266036329346,0.929555196179257,0.919332276333356,0.925387960666479,0.877780376446692,0.939368512026316,0.712190881548787,0.616494498105017,0.782001527758049,0.963615799826818,0.930333375647742,0.921335709067736,0.988826238041025,0.946505917642101,0.842555840986249,1,0.917346604817972,0.943098117356301,0.946886814814197,0.929078518574882,0.964115300167548,0.843951125085962,0.963643362932051,0.952288302729915,0.59614393531594,0.679126472152244,0.809492426886097,0.943986838064064,0.932493348707153,0.901049519779274,0.941946934876659,0.871749054823434,0.92388558184261,0.509616729987518,0.454663919915813,0.43705660080634,0.424017281939903,0.520578969618362,0.416102500647648
"GB66.rep2",0.885492353784885,0.883794924835858,0.918720917108175,0.881592005756948,0.896073920352348,0.890539252620523,0.840832775839853,0.713896656186953,0.715258941948891,0.878450184039806,0.840998798604538,0.916607489491013,0.593417947378054,0.697986925486452,0.682463281369587,0.917343521446562,0.930802863337504,0.925416685503362,0.912913614866126,0.829545816313612,0.819287631943673,0.627027690045394,0.62741215523581,0.593145322569605,0.916911295265007,0.851375449549242,0.797053010820212,0.86317810130335,0.8701900976357,0.900074645232721,0.758688371578401,0.709530890021023,0.654419986078915,0.910313410116576,0.931314250706849,0.936540019438144,0.8790575933972,0.85812589238569,0.873070133526658,0.804992542770719,0.782417953130027,0.888042181404083,0.881306896467583,0.906794184526174,0.905497298032595,0.908464250980538,0.970054702171998,0.72623817933567,0.917346604817972,1,0.928490482993367,0.882887264653608,0.993557756656974,0.923771432070178,0.717648683568351,0.90099567510971,0.939686075156156,0.768872480076228,0.814779439910845,0.896289708398366,0.895297094449809,0.879462439621234,0.866100007464949,0.910123770616968,0.856784188447007,0.896394144300969,0.709736013536948,0.676706039962739,0.640049859447162,0.638257168731921,0.712349718457121,0.632492738590649
"GB123.rep1",0.910189372767483,0.911705349830049,0.962487647041387,0.9153044932521,0.914258358611462,0.920984427477888,0.670681527507152,0.491931770899267,0.515870133854706,0.918859636352758,0.862852049732825,0.97963010760556,0.338377034848452,0.467549708481002,0.441327858440205,0.854029838004452,0.885050368884379,0.898718837463344,0.790978153156825,0.648767744081138,0.790673686041945,0.372167005049444,0.373892516544523,0.335590871358001,0.789104670345793,0.700771862507483,0.668979227258894,0.876909765962065,0.929543965243621,0.919521380777109,0.538915959799521,0.482270409167601,0.407974303688155,0.81150562718686,0.911038927760399,0.910652611568409,0.921412439947456,0.907526864335513,0.919050381082397,0.785474001029649,0.613905125166376,0.754742073109885,0.918555761177889,0.92134558897862,0.968221665069503,0.919906316050119,0.909635681019362,0.743930883141179,0.943098117356301,0.928490482993367,1,0.923414125498857,0.920404989537817,0.960583435242156,0.732429259247097,0.934966464171493,0.973129399334599,0.572491536903547,0.636284692097711,0.783458837847893,0.939996254611771,0.919639632525126,0.911311520615538,0.953272108992724,0.90469817780691,0.901630546577394,0.47846752883917,0.443236476687278,0.388802028218755,0.393887740446393,0.47682831917591,0.392129758247024
"GB49.rep1",0.932759326414392,0.951490900287721,0.932479009231549,0.93918519365891,0.934240849465134,0.945649938460826,0.648525385511091,0.437392921254027,0.462712541956491,0.917286966031855,0.900887543375317,0.933548781140614,0.285484550777891,0.419975447202921,0.401044548702847,0.841188370314939,0.849048951734292,0.890046258301787,0.743808079602996,0.603587929957759,0.775910136713194,0.340157054239029,0.338196471158568,0.293324802193852,0.754134382584144,0.653947945448856,0.594573917084767,0.905933366006521,0.888133551438851,0.910539218168682,0.484132613500662,0.468652198493123,0.383751081104884,0.773346972811989,0.883260610951863,0.866658958642565,0.895000455609961,0.858403236965175,0.908608227842501,0.701622683009542,0.561506954714313,0.706041823874525,0.953294971873074,0.924995245374988,0.927713395838461,0.941878689453701,0.925448581949854,0.82403562716177,0.946886814814197,0.882887264653608,0.923414125498857,1,0.889612458180202,0.948842932280886,0.841736537428005,0.937807113519287,0.931502766417863,0.521157170906655,0.613042031887918,0.745262710575135,0.917909232006231,0.895792112253174,0.877348732462184,0.910635226856233,0.85019466355665,0.868192434728105,0.437056772586668,0.391635939291324,0.363559991268707,0.357689355216622,0.450526800697906,0.351766831564175
"GB66.rep3",0.897830524865347,0.892609325197883,0.926603617521998,0.901116589979385,0.903285096805009,0.911659883396458,0.854153696778878,0.709768368743282,0.705397555782392,0.901145660639239,0.871426827105679,0.908200508246219,0.594342198534541,0.694938254245319,0.687258087721009,0.930731395750534,0.939044101964982,0.938325630656547,0.917806532386872,0.836461385675743,0.824105761663979,0.627750003561324,0.629645062061302,0.595405584093662,0.921974878841431,0.858267677261695,0.780171851195265,0.884855635512279,0.868073522301375,0.903877242969576,0.760572985895365,0.720657905415747,0.663604270156518,0.922722161208679,0.942696952164723,0.944558522241771,0.889288344761443,0.847506073003124,0.885953299720334,0.769792668955251,0.776236041964225,0.895424888349692,0.88198513527719,0.907044939541827,0.888237739109224,0.91689056067269,0.983218128217067,0.76076342259783,0.929078518574882,0.993557756656974,0.920404989537817,0.889612458180202,1,0.93161211300233,0.754765559539078,0.919079332479656,0.935425519752213,0.768897439622622,0.822048424925255,0.899134197400864,0.896995496288252,0.893097683222963,0.861023439270462,0.910543380476307,0.852903769421727,0.909924963341555,0.70690551456688,0.66841421047466,0.644409500870201,0.635589394847632,0.718065629993876,0.626108098406838
